"TITLE","DOI","ONLINEISSN","PRINTISSN","HOME","PUBLISHED"
The Encyclopedia of Criminology and Criminal Justice,"10.1002/9781118517383","9781118517383",,HOME CREATED,NOT PUBLISHED
Current Protocols in Molecular Biology,"10.1002/0471142727","9780471142720",,NO HOME,PUBLISHED
Current Protocols in Bioinformatics,"10.1002/0471250953","9780471250951",,NO HOME,PUBLISHED
The MAK?Collection for Occupational Health and Safety,"10.1002/3527600418","9783527600410",,NO HOME,NOT PUBLISHED
Stevens' Handbook of Experimental Psychology,"10.1002/0471214426","9780471214427",,HOME CREATED,NOT PUBLISHED
Wiley International Encyclopedia of Marketing,"10.1002/9781444316568","9781444316568","9781405161787",HOME CREATED,NOT PUBLISHED
Psychotropic Drug Handout,"10.1002/0471922242","9780471922247",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Actuarial Science,"10.1002/9780470012505","9780470012505","9780470846766",HOME CREATED,NOT PUBLISHED
Handbook of Neuroscience for the Behavioral Sciences,"10.1002/9780470478509","9780470478509",,HOME CREATED,NOT PUBLISHED
Current Protocols in Microbiology,"10.1002/9780471729259","9780471729259",,NO HOME,PUBLISHED
Current Protocols in Magnetic Resonance Imaging,"10.1002/0471142719","9780471142713",,NO HOME,PUBLISHED
Current Protocols in Food Analytical Chemistry,"10.1002/0471142913","9780471142911",,NO HOME,PUBLISHED
Organic Syntheses,"10.1002/0471264229","9780471264224",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Statistical Sciences,"10.1002/0471667196","9780471667193",,HOME CREATED,NOT PUBLISHED
Van Nostrand's Encyclopedia of Chemistry,"10.1002/9780471740032","9780471740032",,HOME CREATED,NOT PUBLISHED
Biopolymers Online,"10.1002/3527600035","9783527600038",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Computational Chemistry,"10.1002/0470845015","9780470845011",,HOME CREATED,NOT PUBLISHED
Wiley Encyclopedia of Chemical Biology,"10.1002/9780470048672","9780470048672",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Electrochemistry,"10.1002/9783527610426","9783527610426",,HOME CREATED,PUBLISHED
Encyclopedia of Environmetrics,"10.1002/9780470057339","9780470057339",,HOME CREATED,PUBLISHED
Dictionary of Bioinformatics and Computational Biology,"10.1002/0471650129","9780471650126",,HOME CREATED,NOT PUBLISHED
"Encyclopedia of Genetics, Genomics, Proteomics and Bioinformatics","10.1002/047001153X","9780470011539","9780470849743",HOME CREATED,NOT PUBLISHED
Comprehensive Handbook of Social Work and Social Welfare,"10.1002/9780470373705","9780470373705",,HOME CREATED,NOT PUBLISHED
Bailey's Industrial Oil and Fat Products,"10.1002/047167849X","9780471678496",,HOME CREATED,NOT PUBLISHED
Comprehensive Physiology,"10.1002/cphy","9780470650714",,HOME CREATED,PUBLISHED
"The Wiley Blackwell Encyclopedia of Health, Illness, Behavior, and Society","10.1002/9781118410868","9781118410868",,HOME CREATED,NOT PUBLISHED
Comprehensive Organic Name Reactions and Reagents,"10.1002/9780470638859","9780470638859",,HOME CREATED,NOT PUBLISHED
Handbook of Green Chemistry,"10.1002/9783527628698","9783527628698",,HOME CREATED,NOT PUBLISHED
Current Protocols in Human Genetics,"10.1002/0471142905","9780471142904",,NO HOME,PUBLISHED
Pharmaceutical Sciences Encyclopedia,"10.1002/9780470571224","9780470571224",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Applied Linguistics,"10.1002/9781405198431","9781405198431","9781405194730",HOME CREATED,PUBLISHED
Supramolecular Chemistry: From Molecules to Nanomaterials,"10.1002/9780470661345","9780470661345","9780470746400",HOME CREATED,NOT PUBLISHED
Encyclopedia of Polymer Science and Technology,"10.1002/0471440264","9780471440260",,HOME CREATED,PUBLISHED
Handbook of Combustion: Online,"10.1002/9783527628148","9783527628148",,HOME CREATED,NOT PUBLISHED
"Encyclopedia of Radicals in Chemistry, Biology and Materials","10.1002/9781119953678","9781119953678",,HOME CREATED,NOT PUBLISHED
Handbook of Psychology,"10.1002/0471264385","9780471264385",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Structural Health Monitoring,"10.1002/9780470061626","9780470061626","9780470058220",HOME CREATED,NOT PUBLISHED
Corrosion Handbook,"10.1002/9783527610433","9783527610433",,HOME CREATED,NOT PUBLISHED
eMagRes,"10.1002/9780470034590","9780470034590",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Cross?Cultural Psychology,"10.1002/9781118339893","9781118339893",,NO HOME,NOT PUBLISHED
Current Protocols in Chemical Biology,"10.1002/9780470559277","9780470559277",,NO HOME,PUBLISHED
"International Encyclopedia of Geography: People, the Earth, Environment and Technology : People, the Earth, Environment and Technology","10.1002/9781118786352","9781118786352",,HOME CREATED,PUBLISHED
A Companion to Schopenhauer,"10.1111/b.9781405171038.2012.x","9781118389560",,HOME CREATED,PUBLISHED
Smart Grid Handbook,"10.1002/9781118755471","9781118755471",,HOME CREATED,NOT PUBLISHED
Holland‐Frei Cancer Medicine,"10.1002/9781119000822","9781119000822",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Biological Anthropology,"10.1002/9781118584538","9781118584538",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Strategic Communication,"10.1002/9781119010722","9781119010722",,HOME CREATED,NOT PUBLISHED
"Stevens' Handbook of Experimental Psychology and Cognitive Neuroscience, ","10.1002/9781119170174","9781119170174",,HOME CREATED,PUBLISHED
The Wiley Blackwell Encyclopedia of Gender and Sexuality Studies,"10.1002/9781118663219","9781118663219",,HOME CREATED,NOT PUBLISHED
The Wiley‐Blackwell Encyclopedia of Social Theory,"10.1002/9781118430873","9781118430873",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Anthropology,"10.1002/9781118924396","9781118924396",,HOME CREATED,PUBLISHED
The International Encyclopedia of Revolution and Protest,"10.1002/9781405198073","9781405198073",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Communication,"10.1002/9781405186407","9781405186407",,HOME CREATED,NOT PUBLISHED
The Handbook of Evolutionary Psychology,"10.1002/9781119125563","9781119125563",,NO HOME,NOT PUBLISHED
The Encyclopedia of Crime & Punishment,"10.1002/9781118519639","9781118519639",,HOME CREATED,NOT PUBLISHED
"The Wiley Handbook on the Theories, Assessment and Treatment of Sexual Offending","10.1002/9781118574003","9781118574003",,HOME CREATED,NOT PUBLISHED
Evidence-Based Medicine Guidelines,"10.1002/0470057203","9780470057209",,NO HOME,PUBLISHED
The International Encyclopedia of Primatology,"10.1002/9781119179313","9781119179313",,HOME CREATED,NOT PUBLISHED
"The Wiley Handbook of Psychology, Technology, and Society","10.1002/9781118772027","9781118771792",,NO HOME,PUBLISHED
The Wiley Blackwell Companion to Semantics,"10.1002/9781118788516","9781118788516",,HOME CREATED,NOT PUBLISHED
Wiley 5G Ref,"10.1002/9781119471509","9781119471509",,HOME CREATED,PUBLISHED
The International Encyclopedia of Media Effects,"10.1002/9781118783764","9781118783764",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Computational Mechanics Second Edition,"10.1002/9781119176817","9781119176817",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Child and Adolescent Development,"10.1002/9781119171492","9781119171492",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Organizational Communication,"10.1002/9781118955567","9781118955567",,HOME CREATED,NOT PUBLISHED
A Companion to World Literature,"10.1002/9781118635193","9781118635193",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Romantic Literature,"10.1002/9781118300916","9781118300916",,HOME CREATED,NOT PUBLISHED
Developmental Psychopathology,"10.1002/9781119125556","9781119125556",,NO HOME,NOT PUBLISHED
Comprehensive Organic Transformations: A Guide to Functional Group Preparations,"10.1002/9781118662083","9781118662083",,HOME CREATED,NOT PUBLISHED
Annual Plant Reviews,"10.1002/9781119312994","9781119312994",,HOME CREATED,PUBLISHED
The Encyclopedia of Medieval Literature in Britain,"10.1002/9781118396957","9781118396957",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of the Gothic,"10.1002/9781118398500","9781118398500",,HOME CREATED,NOT PUBLISHED
The Blackwell Companion to Phonology,"10.1002/9781444335262","9781444335262",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Maritime and Offshore Engineering,"10.1002/9781118476406","9781118476406",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Diplomacy,"10.1002/9781118885154","9781118885154",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Communication Theory and Philosophy,"10.1002/9781118766804","9781118766804",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of British Literature 1660‐1789,"10.1002/9781118607268","9781118607268",,HOME CREATED,NOT PUBLISHED
"The Blackwell Companion to the Theologians, 2 Volume Set","10.1002/9781444308648","9781444308648",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Postcolonial Studies,"10.1002/9781119076506","9781119076506",,HOME CREATED,NOT PUBLISHED
International Encyclopedia of Art and Design Education,"10.1002/9781118978061","9781118978061",,HOME CREATED,NOT PUBLISHED
International Encyclopedia of Journalism Studies,"10.1002/9781118841570","9781118841570",,HOME CREATED,NOT PUBLISHED
Current Protocols in Plant Biology,"10.1002/9781119077367","9781119077367",,NO HOME,PUBLISHED
A Companion to Classical Receptions,"10.1111/b.9781405151672.2008.x","9781405185080",,NO HOME,PUBLISHED
"The International Encyclopedia of Gender, Media, and Communication","10.1002/9781119429128","9781119429128",,HOME CREATED,NOT PUBLISHED
Architectural Graphic Standards Reference,"10.1002/9781119648789","9781119648789",,HOME CREATED,PUBLISHED
Catalysis from A to Z,"10.1002/9783527809080","9783527809080",,HOME CREATED,NOT PUBLISHED
"Encyclopedia of Physical Organic Chemistry, 5 Volume Set","10.1002/9781118468586","9781118468586",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Corrections,"10.1002/9781118845387","9781118845387",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Media Literacy,"10.1002/9781118978238","9781118978238",,HOME CREATED,NOT PUBLISHED
The Royal Marsden Manual of Clinical Nursing Procedures,"10.1002/9781118746608","9781118746608",,HOME CREATED,NOT PUBLISHED
Companion to the History of Architecture,"10.1002/9781118887226","9781118887226",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Ancient Battles,"10.1002/9781119099000","9781119099000",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Archaeological Sciences,"10.1002/9781119188230","9781119188230",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Water,"10.1002/9781119300762","9781119300762",,HOME CREATED,NOT PUBLISHED
The Wiley Handbook of Cognitive Behavioral Therapy,"10.1002/9781118528563","9781118528563",,HOME CREATED,NOT PUBLISHED
Handbook of Social Psychology,"10.1002/9780470561119","9780470561119",,HOME CREATED,NOT PUBLISHED
Stereoselective Synthesis of Drugs and Natural Products,"10.1002/9781118596784","9781118596784",,HOME CREATED,NOT PUBLISHED
Current Protocols in Mouse Biology,"10.1002/9780470942390","9780470942390",,NO HOME,PUBLISHED
Encyclopedia of Reagents for Organic Synthesis,"10.1002/047084289X","9780470842898","9780471936237",NO HOME,PUBLISHED
Current Protocols in Neuroscience,"10.1002/0471142301","9780471142300",,NO HOME,PUBLISHED
Patty's Industrial Hygiene,"10.1002/0471435139","9780471125327",,HOME CREATED,PUBLISHED
Patty's Toxicology,"10.1002/0471125474","9780471125471",,NO HOME,NOT PUBLISHED
The Wiley?Blackwell Encyclopedia of Globalization,"10.1002/9780470670590","9780470670590","9781405188241",HOME CREATED,NOT PUBLISHED
The Encyclopedia of Ancient History,"10.1002/9781444338386","9781444338386","9781405179355",HOME CREATED,PUBLISHED
PATAI'S Chemistry of Functional Groups,"10.1002/9780470682531","9780470682531",,HOME CREATED,PUBLISHED
Wiley Encyclopedia of Electrical and Electronics Engineering,"10.1002/047134608X","9780471346081",,HOME CREATED,PUBLISHED
"Encyclopedic Dictionary of Genetics, Genomics and Proteomics","10.1002/0471684228","9780471684220",,HOME CREATED,NOT PUBLISHED
Kirk?Othmer Encyclopedia of Chemical Technology,"10.1002/0471238961","9780471238966",,HOME CREATED,PUBLISHED
Handbook of Fuel Cells,"10.1002/9780470974001","9780470974001","9780470741511",HOME CREATED,NOT PUBLISHED
Handbook of Magnetism and Advanced Magnetic Materials,"10.1002/9780470022184","9780470022184","9780470022177",HOME CREATED,NOT PUBLISHED
Organic Reactions,"10.1002/0471264180","9780471264187",,HOME CREATED,PUBLISHED
The Companion to Language Assessment,"10.1002/9781118411360","9781118411360",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Medical Devices and Instrumentation,"10.1002/0471732877","9780471732877",,HOME CREATED,NOT PUBLISHED
The Cancer Handbook,"10.1002/0470025077","9780470025079","9780470025062",HOME CREATED,NOT PUBLISHED
Encyclopedia of Inorganic Chemistry,"10.1002/0470862106","9780470862100","9780470860786",NO HOME,NOT PUBLISHED
Wiley Encyclopedia of Molecular Medicine,"10.1002/0471203076","9780471203070",,NO HOME,NOT PUBLISHED
International Textbook of Diabetes Mellitus,"10.1002/0470862092","9780470862094",,NO HOME,NOT PUBLISHED
Handbook of Chemicals and Gases for the Semiconductor Industry,"10.1002/0471263850","9780471263852",,HOME CREATED,NOT PUBLISHED
Wiley Encyclopedia of Computer Science and Engineering,"10.1002/9780470050118","9780470050118",,HOME CREATED,NOT PUBLISHED
Wiley Encyclopedia of Clinical Trials,"10.1002/9780471462422","9780471462422",,HOME CREATED,NOT PUBLISHED
Materials Science and Technology,"10.1002/9783527603978","9783527603978",,HOME CREATED,NOT PUBLISHED
Wiley Encyclopedia of Telecommunications,"10.1002/0471219282","9780471219286",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Imaging Science and Technology,"10.1002/0471443395","9780471443391",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Christian Civilization,"10.1002/9780470670606","9780470670606","9781405157629",HOME CREATED,NOT PUBLISHED
Handbook of Vibrational Spectroscopy,"10.1002/0470027320","9780470027325","9780471988472",HOME CREATED,NOT PUBLISHED
Burger's Medicinal Chemistry and Drug Discovery,"10.1002/0471266949","9780471266945",,HOME CREATED,PUBLISHED
The Encyclopedia of Greek Tragedy,"10.1002/9781118351222","9781118351222",,HOME CREATED,NOT PUBLISHED
The Virgil Encyclopedia,"10.1002/9781118351352","9781118351352",,HOME CREATED,NOT PUBLISHED
Fieser and Fieser's Reagents for Organic Synthesis,"10.1002/9780471264194","9780471264194",,HOME CREATED,PUBLISHED
The Wiley Database of Polymer Properties,"10.1002/0471532053","9780471532057",,HOME CREATED,NOT PUBLISHED
The Corsini Encyclopedia of Psychology,"10.1002/9780470479216","9780470479216",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Drug Metabolism and Interactions,"10.1002/9780470921920","9780470921920",,HOME CREATED,NOT PUBLISHED
Wiley StatsRef: Statistics Reference Online,"10.1002/9781118445112","9781118445112",,NO HOME,PUBLISHED
Encyclopedia of Membrane Science and Technology,"10.1002/9781118522318","9781118522318",,HOME CREATED,NOT PUBLISHED
The International Handbooks of Museum Studies,"10.1002/9781118829059","9781118829059",,HOME CREATED,NOT PUBLISHED
Bodengef�dende Stoffe: Bewertung ? Stoffdaten ? �otoxikologie ? Sanierung,"10.1002/9783527678501","9783527678501",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Automotive Engineering,"10.1002/9781118354179","9781118354179",,HOME CREATED,NOT PUBLISHED
Characterization of Materials,"10.1002/0471266965","9780471266969",,HOME CREATED,NOT PUBLISHED
Nanotechnologies for the Life Sciences,"10.1002/9783527610419","9783527610419",,HOME CREATED,NOT PUBLISHED
Reference Manual for Telecommunications Engineering,"10.1002/0471208051","9780471208051",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Molecular Biology,"10.1002/047120918X","9780471209188",,HOME CREATED,NOT PUBLISHED
Wellbeing: A Complete Reference Guide,"10.1002/9781118539415","9781118539415",,HOME CREATED,NOT PUBLISHED
Handbook of Adolescent Psychology,"10.1002/9780470479193","9780470479193",,HOME CREATED,NOT PUBLISHED
Hawley's Condensed Chemical Dictionary,"10.1002/9780470114735","9780470114735",,NO HOME,NOT PUBLISHED
Handbook of Measuring System Design,"10.1002/0471497398","9780471497394",,HOME CREATED,NOT PUBLISHED
Van Nostrand's Scientific Encyclopedia,"10.1002/9780471743989","9780471743989",,NO HOME,NOT PUBLISHED
"Encyclopedia of Special Education: A Reference for the Education of Children, Adolescents, and Adults with Disabilities and Other Exceptional Individuals","10.1002/9781118660584","9781118660584",,HOME CREATED,NOT PUBLISHED
Handbook of Liquid Crystals,"10.1002/9783527671403","9783527671403",,HOME CREATED,NOT PUBLISHED
Handbook of Measurement in Science and Engineering,"10.1002/9781118436707","9781118436707",,HOME CREATED,NOT PUBLISHED
Handbook of Biophotonics,"10.1002/9783527643981","9783527643981",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Financial Models,"10.1002/9781118182635","9781118182635","9781118006733",HOME CREATED,NOT PUBLISHED
Handbook of Evidence?Based Practice in Clinical Psychology,"10.1002/9781118156391","9781118156391",,HOME CREATED,NOT PUBLISHED
Sax's Dangerous Properties of Industrial Materials,"10.1002/0471701343","9780471701347",,HOME CREATED,NOT PUBLISHED
Handbook of Heterogeneous Catalysis,"10.1002/9783527610044","9783527610044","9783527312412",HOME CREATED,NOT PUBLISHED
International Encyclopedia of Ethics,"10.1002/9781444367072","9781444367072","9781405186414",HOME CREATED,PUBLISHED
The Encyclopedia of Global Human Migration,"10.1002/9781444351071","9781444351071","9781444334890",HOME CREATED,NOT PUBLISHED
"Handbook of Psychology, Second Edition","10.1002/9781118133880","9781118133880","9780470619049",HOME CREATED,NOT PUBLISHED
Encyclopedia of Catalysis,"10.1002/0471227617","9780471227618",,HOME CREATED,NOT PUBLISHED
Enzyklop�e der Holzgew�se: Handbuch und Atlas der Dendrologie,"10.1002/9783527678518","9783527678518",,HOME CREATED,NOT PUBLISHED
Handbuch Naturschutz und Landschaftspflege,"10.1002/9783527678471","9783527678471",,HOME CREATED,PUBLISHED
The Encyclopedia of Theoretical Criminology,"10.1002/9781118517390","9781118517390",,HOME CREATED,NOT PUBLISHED
Handbuch der Bodenkunde,"10.1002/9783527678495","9783527678495",,HOME CREATED,PUBLISHED
Handbuch Angewandte Limnologie: Grundlagen ? Gew�erbelastung ? Restaurierung ? Aquatische �otoxikologie ? Bewertung ? Gew�erschutz,"10.1002/9783527678488","9783527678488",,HOME CREATED,PUBLISHED
Handbuch der Umweltwissenschaften : Grundlagen und Anwendungen der �osystemforschung,"10.1002/9783527678525","9783527678525",,HOME CREATED,NOT PUBLISHED
"Handbook of Autism and Pervasive Developmental Disorders, Fourth Edition","10.1002/9781118911389","9781118911389",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Marine Natural Products,"10.1002/9783527335855","9783527335855",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Clinical Psychology,"10.1002/9781118625392","9781118625392",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Political Thought,"10.1002/9781118474396","9781118474396",,HOME CREATED,PUBLISHED
Handbook of Metabolic Pathways of Xenobiotics,"10.1002/9781118541203","9781118541203",,HOME CREATED,NOT PUBLISHED
Bergey's Manual of Systematics of Archaea and Bacteria,"10.1002/9781118960608","9781118960608",,HOME CREATED,PUBLISHED
Handbook of Digital Imaging,"10.1002/9781118798706","9781118798706",,HOME CREATED,NOT PUBLISHED
The Wiley Blackwell Encyclopedia of Consumption and Consumer Studies,"10.1002/9781118989463","9781118989463",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Family Studies,"10.1002/9781119085621","9781119085621",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Human Sexuality,"10.1002/9781118896877","9781118896877",,NO HOME,NOT PUBLISHED
The International Encyclopedia of Interpersonal Communication,"10.1002/9781118540190","9781118540190",,HOME CREATED,NOT PUBLISHED
"Emerging Trends in the Social and Behavioral Sciences : An Interdisciplinary, Searchable, and Linkable Resource","10.1002/9781118900772","9781118900772",,HOME CREATED,NOT PUBLISHED
Wiley Encyclopedia of Management,"10.1002/9781118785317","9781118785317",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of the Roman Army,"10.1002/9781118318140","9781118318140",,HOME CREATED,NOT PUBLISHED
Handbook of Child Psychology and Developmental Science,"10.1002/9781118963418","9781118963418",,HOME CREATED,NOT PUBLISHED
Mechanical Engineers' Handbook,"10.1002/9781118985960","9781118985960",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Victorian Literature,"10.1002/9781118405376","9781118405376",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Empire,"10.1002/9781118455074","9781118455074",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Language and Social Interaction,"10.1002/9781118611463","9781118611463",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Adulthood and Aging,"10.1002/9781118521373","9781118521373",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Digital Communication and Society,"10.1002/9781118767771","9781118767771",,HOME CREATED,NOT PUBLISHED
"The Wiley Blackwell Encyclopedia of Race, Ethnicity, and Nationalism","10.1002/9781118663202","9781118663202",,HOME CREATED,NOT PUBLISHED
Handbook of Clean Energy Systems,"10.1002/9781118991978","9781118991978",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Political Communication,"10.1002/9781118541555","9781118541555",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Communication Research Methods,"10.1002/9781118901731","9781118901731",,HOME CREATED,NOT PUBLISHED
